 | Origin Time (GMT)     | Status    |cnt |Mag  |TypeMag |cnt | Lat     | Lon      | Depth  | Remarks
 | 2018-03-16 02:01:34.8 | manual    | 14 | 4.1 | MLv    | 13 | 1.30 N  | 126.86 E | 27 km  | Northern Molucca Sea                
 | 2018-03-16 01:30:38.2 | manual    | 24 | 5.3 | MLv    | 13 | 0.60 S  | 121.67 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-16 00:30:12.5 | manual    | 14 | 5.0 | MLv    | 13 | 5.41 N  | 127.22 E | 117 km | Philippine Islands Region           
 | 2018-03-15 20:20:56.6 | manual    | 15 | 4.7 | MLv    | 14 | 8.34 S  | 118.52 E | 118 km | Sumbawa Region, Indonesia           
 | 2018-03-15 18:58:29.2 | manual    | 18 | 4.9 | mb     | 15 | 5.97 S  | 142.38 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-15 14:16:09.3 | manual    | 13 | 4.4 | MLv    | 11 | 9.11 S  | 118.36 E | 10 km  | Sumbawa Region, Indonesia           
 | 2018-03-15 12:30:53.4 | manual    | 8  | 3.3 | MLv    | 6  | 2.11 N  | 121.83 E | 31 km  | Celebes Sea                         
 | 2018-03-15 06:48:02.6 | manual    | 15 | 5.6 | mb     | 15 | 21.58 S | 172.20 E | 67 km  | Southeast of Loyalty Islands        
 | 2018-03-15 04:28:49.2 | manual    | 43 | 5.4 | mb     | 32 | 0.89 N  | 125.43 E | 26 km  | Northern Molucca Sea                
 | 2018-03-15 02:04:17.2 | manual    | 4  | 3.6 | MLv    | 4  | 0.53 N  | 122.35 E | 96 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-15 01:19:31.7 | manual    | 14 | 4.8 | MLv    | 9  | 9.57 S  | 119.29 E | 10 km  | Sumba Region, Indonesia             
 | 2018-03-15 00:22:07.8 | manual    | 6  | 3.5 | MLv    | 6  | 8.80 S  | 123.62 E | 10 km  | Flores Region, Indonesia            
 | 2018-03-14 19:08:31.2 | manual    | 7  | 3.0 | MLv    | 7  | 1.23 S  | 120.57 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-14 16:52:47.1 | manual    | 8  | 3.3 | MLv    | 8  | 1.85 S  | 127.99 E | 121 km | Halmahera, Indonesia                
 | 2018-03-14 14:26:04.8 | manual    | 29 | 4.6 | mb     | 18 | 1.39 N  | 125.69 E | 10 km  | Northern Molucca Sea                
 | 2018-03-14 13:37:24.4 | manual    | 13 | 5.2 | MLv    | 12 | 5.10 N  | 127.40 E | 106 km | Philippine Islands Region           
 | 2018-03-14 12:43:28.8 | manual    | 9  | 3.9 | MLv    | 9  | 2.62 S  | 126.84 E | 11 km  | Ceram Sea                           
 | 2018-03-14 11:46:07.2 | manual    | 23 | 5.8 | mb     | 23 | 20.52 S | 174.77 W | 14 km  | Tonga Islands                       
 | 2018-03-14 11:27:34.6 | manual    | 7  | 5.3 | mb     | 4  | 5.85 S  | 144.23 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-14 10:59:10.4 | manual    | 5  | 2.7 | MLv    | 5  | 0.47 N  | 121.70 E | 99 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-14 06:56:38.4 | manual    | 12 | 5.1 | mb     | 9  | 6.07 S  | 143.24 E | 10 km  | New Guinea, Papua New Guinea        
 | 2018-03-14 05:36:01.1 | manual    | 6  | 5.5 | mb     | 5  | 9.86 S  | 138.33 E | 10 km  | Arafura Sea                         
 | 2018-03-14 05:18:47.9 | manual    | 7  | 4.3 | MLv    | 7  | 1.31 S  | 120.57 E | 10 km  | Sulawesi, Indonesia                 
 | 2018-03-14 04:10:04.2 | manual    | 9  | 3.7 | MLv    | 9  | 1.48 N  | 122.93 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-14 02:31:44.6 | manual    | 12 | 5.6 | mb     | 12 | 37.77 N | 136.73 E | 10 km  | Near West Coast of Honshu, Japan    
 | 2018-03-13 23:13:09.4 | manual    | 16 | 4.5 | MLv    | 14 | 0.01 S  | 126.68 E | 26 km  | Southern Molucca Sea                
 | 2018-03-13 16:08:16.1 | manual    | 11 | 4.7 | MLv    | 10 | 5.24 N  | 124.23 E | 10 km  | Mindanao, Philippines               
 | 2018-03-13 05:08:55.1 | manual    | 14 | 4.3 | MLv    | 14 | 2.61 S  | 128.82 E | 89 km  | Ceram Sea                           
 | 2018-03-13 04:32:47.4 | manual    | 17 | 5.4 | mb     | 17 | 2.49 N  | 94.63 E  | 10 km  | Off West Coast of Northern Sumatra  
 | 2018-03-13 01:34:11.7 | manual    | 20 | 4.7 | mb     | 18 | 5.95 S  | 141.10 E | 11 km  | New Guinea, Papua New Guinea        
 | 2018-03-13 01:04:54.2 | manual    | 35 | 5.1 | mb     | 34 | 6.25 S  | 148.67 E | 66 km  | New Britain Region, P.N.G.          
 | 2018-03-12 19:59:26.3 | manual    | 10 | 5.4 | mb     | 10 | 22.16 N | 143.71 E | 99 km  | Volcano Islands, Japan Region       
 | 2018-03-12 19:40:53.5 | manual    | 14 | 3.4 | MLv    | 13 | 0.69 N  | 125.45 E | 10 km  | Northern Molucca Sea                
 | 2018-03-12 19:21:59.5 | manual    | 7  | 3.2 | MLv    | 7  | 9.84 S  | 113.83 E | 38 km  | South of Java, Indonesia            
 | 2018-03-12 18:12:32.7 | manual    | 12 | 3.3 | MLv    | 12 | 0.51 N  | 123.77 E | 203 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-12 15:33:58.5 | manual    | 16 | 3.8 | MLv    | 15 | 0.17 S  | 122.00 E | 147 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-12 15:07:53.1 | manual    | 7  | 2.8 | MLv    | 7  | 0.16 S  | 122.85 E | 28 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-12 14:42:14.1 | manual    | 8  | 3.5 | MLv    | 8  | 1.04 N  | 120.65 E | 112 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-12 06:00:24.1 | manual    | 18 | 4.8 | MLv    | 17 | 9.48 S  | 118.50 E | 10 km  | Sumbawa Region, Indonesia           
 | 2018-03-12 01:59:26.5 | manual    | 7  | 4.6 | MLv    | 6  | 11.73 S | 120.05 E | 132 km | South of Sumba, Indonesia           
 | 2018-03-11 23:52:55.7 | manual    | 15 | 4.6 | MLv    | 15 | 2.80 N  | 128.48 E | 219 km | Halmahera, Indonesia                
 | 2018-03-11 11:52:31.8 | manual    | 18 | 5.1 | mb     | 11 | 4.14 S  | 131.05 E | 0 km   | Banda Sea                           
 | 2018-03-10 01:00:12.6 | manual    | 15 | 3.8 | MLv    | 11 | 0.58 S  | 122.93 E | 36 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-09 22:09:35.5 | manual    | 5  | 3.8 | MLv    | 5  | 1.24 N  | 125.42 E | 184 km | Northern Molucca Sea                
 | 2018-03-09 20:45:07.8 | manual    | 12 | 3.9 | MLv    | 9  | 1.42 N  | 125.99 E | 87 km  | Northern Molucca Sea                
 | 2018-03-09 20:14:50.8 | manual    | 12 | 4.0 | MLv    | 12 | 0.09 S  | 123.17 E | 146 km | Minahassa Peninsula, Sulawesi       
 | 2018-03-09 19:06:37.3 | manual    | 9  | 4.5 | mb     | 9  | 4.33 S  | 140.25 E | 331 km | Irian Jaya, Indonesia               
 | 2018-03-09 16:23:24.7 | manual    | 50 | 5.6 | Mw(mB) | 42 | 20.88 S | 178.72 W | 565 km | Fiji Islands Region                 
 | 2018-03-09 15:56:02.8 | manual    | 11 | 4.5 | MLv    | 10 | 2.55 S  | 128.83 E | 45 km  | Ceram Sea                           
 | 2018-03-09 14:14:40.6 | manual    | 7  | 3.4 | MLv    | 4  | 0.99 S  | 120.42 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-09 11:30:31.3 | manual    | 7  | 4.2 | MLv    | 6  | 0.66 S  | 121.55 E | 10 km  | Minahassa Peninsula, Sulawesi       
 | 2018-03-09 11:06:14.7 | manual    | 46 | 5.9 | Mw(mB) | 33 | 4.33 S  | 153.22 E | 101 km | New Ireland Region, P.N.G.          
 | 2018-03-09 02:11:27.8 | manual    | 9  | 4.3 | MLv    | 9  | 9.52 S  | 112.90 E | 11 km  | South of Java, Indonesia            
 | 2018-03-08 21:54:41.2 | manual    | 19 | 4.4 | MLv    | 17 | 0.06 S  | 123.18 E | 142 km | Minahassa Peninsula, Sulawesi       
